Topic,Count,Name,Representation,Representative_Docs,label_manual
807,31,807_didepan_semakin_2024_bersama,"['didepan', 'semakin', '2024', 'bersama', 'onkir', 'semarak', 'gaspoll', 'didepa', 'depann', 'maju']","['alfagift semakin didepan', 'alfagift semakin didepan', 'alfagift semakin didepan']",Didepan Semakin 2024
808,39,808_cakep_kece_personilnya_bill,"['cakep', 'kece', 'personilnya', 'bill', 'janga', 'wew', 'planet', '167', 'rancabolng', 'split']","['cakep', 'cakep', 'cakep']",Cakep Kece Personilnya
809,57,809_betullllll_wayae_slur_apilkasi,"['betullllll', 'wayae', 'slur', 'apilkasi', 'daaaa', 'caurrrr', 'brow', 'bergunaaaaaaaa', 'borr', 'butull']","['aplikasinya mantap', 'aplikasinya mantap', 'aplikasinya mantap']",Betullllll Wayae Slur
810,45,810_banguus_mumudahkan_promonya²_dari,"['banguus', 'mumudahkan', 'promonya²', 'dari', 'aplikai', 'memudahkan', 'ingin', 'cust', 'berbelanja', 'belanjaaa']","['memudahkan untuk berbelanja di rumah', 'memudahkan untuk berbelanja dari rumah', 'memudahkan kita berbelanja dari rumah']",Banguus Mumudahkan Promonya²
811,23,811_ok_boboboy_gaskan_mantapz,"['ok', 'boboboy', 'gaskan', 'mantapz', 'mantaplah', 'mantaps', 'bos', 'alfagit', 'mantap', 'no']","['ok mantap', 'ok mantap', 'ok mantap']",Ok Boboboy Gaskan
812,30,812_diskon_jiga_klim_pajangan,"['diskon', 'jiga', 'klim', 'pajangan', 'semuapastibisa', 'tgal', 'seluler', 'belu', 'keliru', 'operator']","['banyak diskon', 'banyak diskon', 'tidak biasa daftar aduh']",Diskon Jiga Klim
813,25,813_mantaapppp_mantaappppppp_mantaaappppssss_mantaaaapppp,"['mantaapppp', 'mantaappppppp', 'mantaaappppssss', 'mantaaaapppp', 'mantaaaaaaapppppppp', 'maaaaantaaaapppp', 'mantaapppppp', 'mantaaaappppp', 'mantaaapppppp', 'cakeeupp']","['mantaapppp', 'mantaapppp', 'mantaapppp']",Mantaapppp Mantaappppppp Mantaaappppssss
814,33,814_perfect_rekomendasii_work_cool,"['perfect', 'rekomendasii', 'work', 'cool', 'extra', 'recommend', 'begeteee', 'goog', 'onlineee', 'daftarin']","['perfect', 'perfect', 'perfect']",Perfect Rekomendasii Work
815,46,815_tepat_waktu_effort_selamat,"['tepat', 'waktu', 'effort', 'selamat', 'mengeluarkan', 'mengenal', 'dati', 'cegat', 'pengntarax', 'rahmat']","['pengiriman cepat dan tepat waktu', 'pengiriman cepat dan tepat waktu', 'pengiriman cepat dan tepat waktu']",Tepat Waktu Effort
816,20,816_bermanfaat_aplikasih_yang_aplikasi,"['bermanfaat', 'aplikasih', 'yang', 'aplikasi', 'best', 'bagus', '', '', '', '']","['aplikasi yang bermanfaat', 'aplikasi yang bermanfaat', 'aplikasi yang bermanfaat']",Bermanfaat Aplikasih Yang
817,41,817_lumayan_kapass_perbedaan_kedai,"['lumayan', 'kapass', 'perbedaan', 'kedai', 'dika0406', 'micellar', 'pont', 'water', 'refferal', 'persen']","['lumayan', 'lumayan', 'lumayan']",Lumayan Kapass Perbedaan
818,31,818_multi_lope²_rebhan_ngelek,"['multi', 'lope²', 'rebhan', 'ngelek', 'sekaliiiiii', 'aplikasine', 'pet', 'guna', 'fungsi', 'sambil']","['aplikasi berguna untuk pesan barang', 'aplikasi yang memudahkan berbelanja lope² pokoknya', 'aplikasi multi guna untuk kenyamanan yang belanja']",Multi Lope² Rebhan
819,41,819_canggih_gue_ibuk_dikerjaan,"['canggih', 'gue', 'ibuk', 'dikerjaan', 'kwalitas', 'sangay', 'mr', 'baik', 'berkelas', 'uye']","['bagus dan baik', 'bagus dan baik', 'bagus dan baik']",Canggih Gue Ibuk
820,71,820_dari_buangeettt_geroceries_rakat,"['dari', 'buangeettt', 'geroceries', 'rakat', 'engg', 'ayar', 'sampo', 'setset', 'maki', 'misua']","['belanja jadi lebih mudah bisa dari rumah', 'belanja lebih mudah bisa dari rumah', 'belanja lebih mudah bisa dari rumah']",Dari Buangeettt Geroceries
821,36,821_beserta_keperluan_peralatan_sehari,"['beserta', 'keperluan', 'peralatan', 'sehari', 'hari', 'harii', 'selain', 'menyediakan', 'mencuci', 'dikonsumsi']","['sangat memudahkan untuk belanja keperluan sehari hari selain banyak barang yang lengkap beserta promo yang menarik', 'sangat memudahkan untuk belanja keperluan sehari hari selain banyak barang yang lengkap beserta promo yang menarik karena juga lebih praktis untuk belanja', 'sangat memudahkan untuk belanja keperluan sehari hari selain banyak barang yang lengkap beserta promo yang menarik karena juga lebih praktis untuk belanja']",Beserta Keperluan Peralatan
822,25,822_bolooong_buaaanyak_kempess_kantong,"['bolooong', 'buaaanyak', 'kempess', 'kantong', 'muraahh', 'alafagit', 'bolong', 'gantung', 'karyawannya', 'bonus']","['banyak promonya mantap', 'banyak promonya mantap', 'banyak promonya mantap']",Bolooong Buaaanyak Kempess
823,31,823_sempurna_berkata_kata_pemesanannya,"['sempurna', 'berkata', 'kata', 'pemesanannya', 'jual', 'alfaggift', 'berapapu', 'matinya', 'tersembunyi', 'pengatur']","['tidak bisa berkata kata', 'tidak bisa berkata kata', 'tidak bisa berkata kata']",Sempurna Berkata Kata
824,26,824_lup_promonyaa_diskonyaaa_bestyyyy,"['lup', 'promonyaa', 'diskonyaaa', 'bestyyyy', 'cihuyy', 'udaa', 'syukaa', 'promoonyaa', 'pulakk', 'mantapn']","['mantap banyak promonyaa', 'mantap banyak promonyaa', 'mantap banyak promonyaa']",Lup Promonyaa Diskonyaaa
825,26,825_out_cake_youhhh_oengiriman,"['out', 'cake', 'youhhh', 'oengiriman', 'mampir2', 'sayah', 'jost', 'loph', 'check', 'canggih']","['aplikasi yang sangat membantu yang mager ataupun malas keluar rumah gampang tinggal mesan di alfagif cake out langsung diantar memang mantul aplikasi ini', 'aplikasi belanja paling gampang banget kalau mager tinggal buka alfagift habis itu tinggal menunggu pesanan di antar sampai rumah mencoba bun cocok banget buat kaum rebahan yang malas kemana2', 'buat pekerja yang tidak sempat mampir2 ini bisa jadi andalan bahkan saat kita perlu cepat belanjaan datang sesuai yang kita harapkan top banget loph youhhh alfagift']",Out Cake Youhhh
826,23,826_gwendeng_gacor2_dahsyat_mantullll,"['gwendeng', 'gacor2', 'dahsyat', 'mantullll', 'promonyaaaa', 'brooo', 'jossa', 'mantupp', 'mantulitii', 'mantaapki']","['mantaaaaab bozzqu banyak promonya eeei', 'jossa gandos mantaaaap bosq banyak promonya', 'promonya gwendeng gwendeng gwendeng dahsyat']",Gwendeng Gacor2 Dahsyat
827,40,827_personilnya_jahat_maling_ramah,"['personilnya', 'jahat', 'maling', 'ramah', 'cuaksss', 'lenngkap', 'revonya', 'boring', 'ganjosss', 'rakyatt']","['personel nya ramah ramah banyak promo yang menarik tempatnya bersih tidak berantakan', 'sangat baik personilnya ramah senyum harga saat dikantong promo nya wow terus', 'kurirnya baik kasirnya baik motor revonya juga baik pramuniaga tokonya juga baik cuma saya yang jahat']",Personilnya Jahat Maling
828,53,828_transaksi_bertransaksi_bonus²_bonus2,"['transaksi', 'bertransaksi', 'bonus²', 'bonus2', 'berbelanjaan', 'dabat', 'bunus', 'diakumulasi', 'bonusannya', 'pakai']","['mudah transaksi pakai alfagift', 'mudah transaksi pakai alfagift', 'mudah transaksi pakai alfagift']",Transaksi Bertransaksi Bonus²
829,25,829_aplikasinya_era_butuhkan_the,"['aplikasinya', 'era', 'butuhkan', 'the', 'best', 'bagus', 'membantu', 'transaksi', 'sangat', 'berguna']","['aplikasinya bagus sangat membantu', 'aplikasinya bagus sangat membantu', 'bagus aplikasinya sangat membantu']",Aplikasinya Era Butuhkan
830,35,830_tercepat_kilat_ontime_instan,"['tercepat', 'kilat', 'ontime', 'instan', 'ekspres', 'dengannya', 'domar', 'ekspress', 'holiganzzz', 'termuda']","['pengiriman tercepat', 'pengiriman tercepat', 'pengiriman tercepat']",Tercepat Kilat Ontime
831,26,831_sangatt_bergunaaaa_kuntungan_aplikas,"['sangatt', 'bergunaaaa', 'kuntungan', 'aplikas', 'membantuu', 'dipahami', 'bagus', 'nya', 'lah', 'aplikasi']","['aplikasi nya sangat bagus', 'aplikasi nya sangat bagus', 'aplikasi sangat bagus dan banyak kuntungan nya']",Sangatt Bergunaaaa Kuntungan
832,25,832_personel_personil_duperr_ssesuai,"['personel', 'personil', 'duperr', 'ssesuai', 'personal', 'pembayaran', 'dibandingkan', 'ramah', 'toko', 'bayarnya']","['pengiriman cepat promo lengkap personil toko ramah dan pembayaran mudah', 'pengiriman cepat promo lengkap personil toko ramah dan pembayaran mudah', 'pengiriman cepat promo lengkap personil toko ramah dan pembayaran mudah']",Personel Personil Duperr
833,49,833_layanannya_grecep_pelayanannya_pelayananya,"['layanannya', 'grecep', 'pelayanannya', 'pelayananya', 'puas', 'alfamartygterbaik', 'gb', 'pelayanannyaaa', 'ngercep', 'yuhuuuuuuuu']","['sangat puas pelayanannya', 'sangat puas dengan pelayanannya', 'sangat puas dengan pelayanannya']",Layanannya Grecep Pelayanannya
834,54,834_tertbaikk_superrrrrr_mantabbbbbbbbbbbbb_online,"['tertbaikk', 'superrrrrr', 'mantabbbbbbbbbbbbb', 'online', 'ahay', 'memudahkan', 'ongkirnyaa', 'dam', 'aplikasikan', 'sebab']","['aplikasi bagus memudahkan belanja online', 'aplikasi bagus memudahkan belanja online', 'aplikasi bagus memudahkan belanja online']",Tertbaikk Superrrrrr Mantabbbbbbbbbbbbb
